tram_id,component,days_since_last_maintenance,temperature,vibration,failure
T01,motor,80,65.07,4.79,0
T01,brake,168,52.93,3.56,0
T01,door,175,65.4,4.78,0
T01,pantograph,171,42.66,3.89,0
T02,motor,134,55.05,6.05,0
T02,brake,165,72.25,5.79,0
T02,door,137,62.34,3.34,0
T02,pantograph,179,65.63,6.41,1
T03,motor,121,71.19,4.33,0
T03,brake,173,56.48,3.8,0
T03,door,63,61.09,3.11,0
T03,pantograph,105,78.95,4.2,0
T04,motor,162,61.22,4.86,0
T04,brake,131,62.07,3.66,0
T04,door,109,68.78,3.12,0
T04,pantograph,63,82.52,2.06,0
T05,motor,129,56.36,2.34,0
T05,brake,101,83.13,3.06,0
T05,door,100,52.68,5.47,0
T05,pantograph,140,49.37,2.74,0
T06,motor,65,43.39,3.59,0
T06,brake,7,57.67,3.64,0
T06,door,159,49.07,3.57,0
T06,pantograph,162,76.57,5.15,0
T07,motor,91,61.35,3.93,0
T07,brake,163,78.35,3.22,0
T07,door,172,49.51,4.8,0
T07,pantograph,49,59.73,4.28,0
T08,motor,137,56.63,4.96,0
T08,brake,115,63.67,3.03,0
T08,door,62,51.64,5.85,0
T08,pantograph,76,81.93,3.45,0
T09,motor,131,72.4,3.91,0
T09,brake,13,84.44,3.28,0
T09,door,51,56.96,5.22,0
T09,pantograph,15,73.66,4.26,0
T10,motor,112,59.46,2.99,0
T10,brake,111,78.94,3.18,0
T10,door,170,71.59,3.11,0
T10,pantograph,50,80.08,3.75,0
