timestamp,tram_id,station_id,passenger_load,weather,incident_flag,delay_minutes
2026-01-23 12:46:00,TR007,Massira,136,clear,0,2.29
2026-01-23 12:39:00,TR006,Massira,107,clear,0,1.88
2026-01-23 20:57:00,TR001,Place Mohammed V,96,clear,0,1.49
2026-01-23 15:00:00,TR005,Racine,109,clear,0,1.68
2026-01-23 13:28:00,TR010,Place Mohammed V,57,clear,0,1.91
2026-01-23 16:42:00,TR002,Hassan II,67,rain,0,1.59
2026-01-23 16:59:00,TR004,Sidi Maarouf,131,clear,0,1.55
2026-01-23 15:47:00,TR009,Agdal,137,clear,0,1.71
2026-01-23 21:57:00,TR008,Sidi Maarouf,90,rain,0,1.75
2026-01-23 21:00:00,TR007,Massira,148,clear,0,1.44
2026-01-23 19:51:00,TR001,Bourgogne,126,clear,0,2.82
2026-01-23 14:37:00,TR004,Massira,91,rain,0,1.69
2026-01-23 08:09:00,TR006,Place Mohammed V,274,clear,0,3.26
2026-01-23 12:21:00,TR009,Maarif,101,clear,0,1.25
2026-01-23 15:41:00,TR003,Maarif,141,clear,0,1.4
2026-01-23 07:02:00,TR002,Place Mohammed V,194,clear,0,2.85
2026-01-23 08:06:00,TR004,Massira,119,clear,0,2.15
2026-01-23 13:08:00,TR010,Place Mohammed V,82,clear,0,1.16
2026-01-23 09:22:00,TR008,Bourgogne,65,rain,0,1.4
2026-01-23 08:27:00,TR005,Massira,180,rain,0,3.49
2026-01-23 09:13:00,TR001,Sidi Maarouf,148,clear,0,1.43
2026-01-23 18:35:00,TR003,Hassan II,197,clear,0,1.73
2026-01-23 22:25:00,TR003,Racine,79,rain,0,2.34
2026-01-23 21:59:00,TR002,Agdal,110,clear,0,1.91
2026-01-23 13:37:00,TR001,Hassan II,148,clear,1,9.66
2026-01-23 07:07:00,TR001,Agdal,67,clear,0,1.73
2026-01-23 18:04:00,TR010,Place Mohammed V,153,clear,0,2.01
2026-01-23 20:02:00,TR007,Bourgogne,106,clear,0,1.03
2026-01-23 18:53:00,TR008,Agdal,81,clear,0,3.86
2026-01-23 22:57:00,TR006,Sidi Maarouf,109,clear,0,0.57
2026-01-23 19:26:00,TR005,Hassan II,104,clear,0,1.45
2026-01-23 18:10:00,TR003,Hassan II,176,clear,0,2.46
2026-01-23 19:56:00,TR010,Racine,65,clear,0,2.33
2026-01-23 22:50:00,TR003,Massira,143,rain,0,1.97
2026-01-23 05:22:00,TR010,Hassan II,59,rain,0,2.2
2026-01-23 16:29:00,TR008,Racine,84,clear,0,1.88
2026-01-23 22:46:00,TR003,Bourgogne,93,clear,0,1.29
2026-01-23 21:09:00,TR002,Massira,139,clear,0,1.44
2026-01-23 17:08:00,TR007,Racine,70,rain,0,4.24
2026-01-23 16:02:00,TR003,Racine,111,clear,0,0.56
2026-01-23 06:01:00,TR007,Massira,133,rain,0,2.08
2026-01-23 19:10:00,TR009,Racine,65,clear,0,1.93
2026-01-23 14:28:00,TR009,Racine,88,clear,0,1.54
2026-01-23 14:47:00,TR005,Maarif,58,rain,0,1.86
2026-01-23 15:33:00,TR006,Hassan II,115,clear,0,2.08
2026-01-23 12:24:00,TR007,Bourgogne,103,clear,0,1.26
2026-01-23 12:55:00,TR003,Maarif,121,clear,0,1.76
2026-01-23 07:13:00,TR009,Hassan II,107,clear,1,8.68
2026-01-23 05:46:00,TR005,Bourgogne,98,clear,0,2.1
2026-01-23 16:07:00,TR007,Massira,57,clear,0,2.41
2026-01-23 17:19:00,TR008,Racine,241,clear,0,3.38
2026-01-23 12:29:00,TR003,Bourgogne,59,rain,0,1.4
2026-01-23 19:12:00,TR005,Maarif,75,clear,1,8.98
2026-01-23 17:50:00,TR003,Agdal,230,clear,0,3.84
2026-01-23 05:00:00,TR010,Bourgogne,100,clear,0,1.67
2026-01-23 17:50:00,TR002,Place Mohammed V,172,clear,0,2.95
2026-01-23 20:18:00,TR005,Agdal,128,rain,0,2.3
2026-01-23 09:08:00,TR002,Place Mohammed V,87,clear,0,1.52
2026-01-23 18:04:00,TR007,Maarif,133,clear,1,9.83
2026-01-23 16:06:00,TR003,Agdal,142,rain,0,2.16
2026-01-23 13:53:00,TR003,Massira,70,clear,0,1.89
2026-01-23 05:46:00,TR001,Massira,135,clear,0,1.36
2026-01-23 16:58:00,TR001,Bourgogne,96,clear,0,0.74
2026-01-23 22:06:00,TR008,Racine,72,clear,0,2.18
2026-01-23 13:04:00,TR002,Massira,77,clear,0,1.18
2026-01-23 08:52:00,TR009,Hassan II,158,clear,0,2.16
2026-01-23 15:12:00,TR006,Sidi Maarouf,55,rain,0,2.19
2026-01-23 15:23:00,TR006,Hassan II,53,rain,0,1.38
2026-01-23 20:19:00,TR008,Maarif,144,rain,0,2.2
2026-01-23 22:29:00,TR006,Bourgogne,100,rain,0,2.43
2026-01-23 14:18:00,TR010,Massira,50,clear,0,0.93
2026-01-23 05:09:00,TR004,Massira,54,clear,1,8.25
2026-01-23 20:10:00,TR002,Agdal,73,clear,0,1.22
2026-01-23 13:32:00,TR005,Sidi Maarouf,89,clear,0,2.25
2026-01-23 05:04:00,TR008,Racine,132,clear,0,1.94
2026-01-23 22:26:00,TR009,Sidi Maarouf,112,clear,0,1.34
2026-01-23 08:17:00,TR001,Racine,183,clear,0,2.26
2026-01-23 22:00:00,TR001,Bourgogne,76,clear,0,1.76
2026-01-23 18:25:00,TR006,Racine,190,clear,0,2.57
2026-01-23 06:34:00,TR008,Hassan II,85,clear,0,1.01
2026-01-23 16:51:00,TR005,Place Mohammed V,72,clear,0,1.64
2026-01-23 07:06:00,TR002,Sidi Maarouf,155,rain,0,2.84
2026-01-23 18:33:00,TR009,Maarif,150,rain,0,3.43
2026-01-23 10:12:00,TR008,Maarif,75,clear,0,2.05
2026-01-23 11:57:00,TR009,Maarif,140,clear,0,0.94
